name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,season,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,kickoff_time_dt,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall
Callum Wilson,FWD,West Ham,0.0,1,0,11,0,0.3,671,0.0,0.21,0.21,2.45,190,2,0,1.3,0.0,2025-12-30T19:30:00Z,62,6,0,0,0,0,19,0,91198,1,2.0,2.0,14.0,5,-7079,3099,10178,58,True,0,19,2025-26,Brighton,BHA,36,3,1150,1160,1090,1110,1210,1210,2.0,28967.0,2025.0,760594.0,0.0,0.0,0.445569783449173,0.445569783449173,0.0,468.0,2025-12-30 19:30:00+00:00,1243.4345944855395,942.1769738979134,1092.8057841917264
Nathan Patterson,DEF,Everton,0.0,0,0,23,1,1.4,296,0.0,0.0,0.0,0.84,188,0,0,1.7,16.0,2025-12-30T19:30:00Z,71,16,0,0,0,0,19,0,2660,1,2.0,0.0,0.0,8,26,115,89,44,False,0,19,2025-26,Nott'm Forest,NFO,17,3,1100,1130,1100,1110,1100,1150,0.0,28965.0,2025.0,760572.0,0.0,0.0,0.0,0.4147383868694305,0.4147383868694305,10292.0,2025-12-30 19:30:00+00:00,904.5172676782477,885.3734443496166,894.9453560139322
Georginio Rutter,MID,Brighton,0.0,0,0,9,0,0.7,158,0.01,0.16,0.15,0.27,190,0,0,2.8,6.6,2025-12-30T19:30:00Z,18,19,0,0,0,0,19,0,54567,0,2.0,2.0,21.0,1,5285,8220,2935,56,False,0,19,2025-26,West Ham,WHU,21,3,1075,1075,1050,1050,1100,1100,1.0,28967.0,2025.0,760611.0,0.0,0.0,0.1333224028348922,0.226726695895195,0.226726695895195,6937.0,2025-12-30 19:30:00+00:00,807.5458985497519,1095.0575635393488,951.3017310445505
Bernd Leno,GK,Fulham,0.0,0,0,12,0,0.0,314,0.0,0.0,0.0,1.62,185,1,0,1.6,16.4,2026-01-01T17:30:00Z,90,8,0,0,0,0,19,1,223691,1,1.0,1.0,0.0,2,-5090,2371,7461,49,False,0,19,2025-26,Crystal Palace,CRY,31,3,1165,1205,1150,1150,1180,1260,0.0,28962.0,2025.0,760691.0,0.0,0.0,0.0,0.0,0.0,181.0,2026-01-01 17:30:00+00:00,1262.3076253753316,1063.4603013587162,1162.883963367024
Kyle Walker-Peters,DEF,West Ham,0.0,0,0,6,0,2.9,659,0.01,0.01,0.0,2.87,190,2,0,2.1,12.2,2025-12-30T19:30:00Z,82,6,0,0,0,0,19,0,34764,1,2.0,2.0,6.0,1,1014,1924,910,42,True,0,19,2025-26,Brighton,BHA,36,3,1150,1160,1090,1110,1210,1210,0.0,28967.0,2025.0,760585.0,0.0,0.0,0.0,0.0,0.0,885.0,2025-12-30 19:30:00+00:00,1243.4345944855395,942.1769738979134,1092.8057841917264
Ayden Heaven,DEF,Man Utd,0.0,0,0,14,0,2.8,447,0.04,0.08,0.04,1.11,187,1,0,2.7,17.2,2025-12-30T20:15:00Z,74,20,0,0,0,0,19,0,381416,1,1.0,1.0,7.0,2,105937,111787,5850,38,True,0,19,2025-26,Wolves,WOL,39,3,1070,1085,1050,1050,1090,1120,1.0,28964.0,2025.0,760651.0,0.0,0.0,0.0731864497065544,0.4025121629238128,0.3293257057666778,13080.0,2025-12-30 20:15:00+00:00,771.5462921685557,1135.2865190161847,953.4164055923702
Brajan Gruda,MID,Brighton,0.0,0,0,-1,0,12.3,162,0.08,0.08,0.0,0.4,190,0,0,2.4,6.0,2025-12-30T19:30:00Z,32,19,0,0,0,0,19,0,7231,0,2.0,2.0,6.0,1,166,446,280,54,False,0,19,2025-26,West Ham,WHU,21,3,1075,1075,1050,1050,1100,1100,0.0,28967.0,2025.0,760612.0,1.0,0.0,0.0,0.0663255229592323,0.0156021770089864,11310.0,2025-12-30 19:30:00+00:00,807.5458985497519,1095.0575635393488,951.3017310445505
Jackson Tchatchoua,DEF,Wolves,0.0,0,0,2,0,29.2,695,0.15,0.15,0.0,0.84,187,1,0,4.1,9.4,2025-12-30T20:15:00Z,90,14,0,0,0,0,19,0,3316,1,1.0,1.0,2.0,1,-42,63,105,44,False,1,19,2025-26,Man Utd,MUN,1,3,1135,1205,1100,1150,1170,1260,0.0,28964.0,2025.0,760666.0,2.0,0.0,0.0,0.2398166209459304,0.0976957008242607,12113.0,2025-12-30 20:15:00+00:00,1251.9729073601766,1039.7894894745868,1145.8811984173815
Tomáš Souček,MID,West Ham,0.0,0,0,3,0,0.3,613,0.0,0.0,0.0,0.07,190,0,0,0.1,0.2,2025-12-30T19:30:00Z,8,6,0,0,0,0,19,0,30304,0,2.0,2.0,0.0,1,-447,460,907,57,True,0,19,2025-26,Brighton,BHA,36,3,1150,1160,1090,1110,1210,1210,0.0,28967.0,2025.0,760595.0,0.0,0.0,0.0,0.0,0.0,8288.0,2025-12-30 19:30:00+00:00,1243.4345944855395,942.1769738979134,1092.8057841917264
Jack Grealish,MID,Everton,0.0,0,0,5,0,20.5,419,0.03,0.07,0.04,0.71,188,0,0,3.3,3.0,2025-12-30T19:30:00Z,18,16,0,0,0,0,19,0,1185005,0,2.0,0.0,9.0,1,-160653,7489,168142,65,False,0,19,2025-26,Nott'm Forest,NFO,17,3,1100,1130,1100,1110,1100,1150,1.0,28965.0,2025.0,760583.0,2.0,0.0,0.0771907642483711,0.1609929203987121,0.0,675.0,2025-12-30 19:30:00+00:00,904.5172676782477,885.3734443496166,894.9453560139322
