name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,season,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id
Alisson Ramses Becker,GK,Liverpool,5.5,0,0,11,0,0.0,281,0.0,0.0,0.0,0.0,4,2,0,0.8,8.2,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,1,1567712,0,2,2,0.0,1,0,0,0,55,False,0,1,2022-23,Fulham,FUL,54,3,1095,1100,1070,1065,1120,1140,0.0,18203.0,2022.0,539196.0,0.0,0.0,0.0,0.0,0.0,1257.0
Sam Greenwood,FWD,Leeds,0.5,0,0,4,0,0.5,237,0.0,0.0,0.0,0.0,5,0,0,2.2,0.4,2022-08-06T14:00:00Z,17,20,0,0,0,0,1,0,1895580,0,1,2,21.0,1,0,0,0,45,True,0,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,2.0,18205.0,2022.0,539439.0,0.0,0.0,0.1371109932661056,0.5054290294647217,0.4139040112495422,9493.0
Tosin Adarabioyo,DEF,Fulham,0.4,0,0,11,0,0.4,209,0.0,0.0,0.0,0.0,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,5971,0,2,2,0.0,1,0,0,0,45,True,0,1,2022-23,Liverpool,LIV,14,4,1220,1275,1180,1250,1260,1300,0.0,18203.0,2022.0,539185.0,0.0,0.0,0.0,0.0,0.0,5590.0
Kalvin Phillips,MID,Man City,2.6,0,0,3,0,0.5,325,0.0,0.0,0.0,0.0,10,0,0,0.1,0.6,2022-08-07T15:30:00Z,1,19,0,0,0,0,1,0,45423,0,2,0,0.0,1,0,0,0,50,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,0.0,18211.0,2022.0,540091.0,0.0,0.0,0.0,0.0,0.0,8719.0
Marek Rodák,GK,Fulham,0.7,0,0,11,0,0.0,213,0.0,0.0,0.0,0.0,4,2,0,1.0,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,0,2,2,0.0,1,0,0,0,45,True,0,1,2022-23,Liverpool,LIV,14,4,1220,1275,1180,1250,1260,1300,0.0,18203.0,2022.0,539182.0,0.0,0.0,0.0,0.0,0.0,8704.0
Ryan Fraser,MID,Newcastle,2.5,0,0,4,0,10.3,359,0.0,0.0,0.0,0.0,7,0,0,1.3,2.2,2022-08-06T14:00:00Z,9,16,0,0,0,0,1,0,14743,0,0,2,0.0,1,0,0,0,55,True,0,1,2022-23,Nott'm Forest,NFO,17,3,1050,1100,1065,1100,1030,1105,0.0,18206.0,2022.0,539467.0,1.0,0.0,0.0,0.0552302002906799,0.0552302002906799,1683.0
Rodrigo Hernandez,MID,Man City,3.2,0,0,18,1,5.8,315,0.0,0.0,0.0,0.0,10,0,0,2.3,16.0,2022-08-07T15:30:00Z,88,19,0,0,0,0,1,0,220268,0,2,0,1.0,3,0,0,0,60,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,1.0,18211.0,2022.0,540084.0,0.0,0.0,0.0188551004976034,1.074120044708252,1.074120044708252,2496.0
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,4.1,0,0,3,0,11.5,326,0.0,0.0,0.0,0.0,9,0,0,3.6,4.6,2022-08-07T13:00:00Z,37,5,0,0,0,0,1,0,352984,0,2,1,20.0,1,0,0,0,105,True,0,1,2022-23,Brighton,BHA,36,3,1170,1175,1140,1150,1200,1200,1.0,18209.0,2022.0,539806.0,1.0,0.0,0.0927601978182792,0.1154339984059333,0.022673700004816,2371.0
Jack Grealish,MID,Man City,3.4,0,0,19,1,29.2,305,0.0,0.0,0.0,0.0,10,0,0,5.0,7.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,327616,0,2,0,14.0,3,0,0,0,70,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,1.0,18211.0,2022.0,540087.0,2.0,0.0,0.0606564991176128,1.098889946937561,0.5116260051727295,675.0
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,2166,0,1,4,0.0,0,0,0,0,45,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8224.0
Chris Wood,FWD,Newcastle,2.3,0,0,2,0,0.0,354,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,16,0,0,0,0,1,0,137537,0,0,2,0.0,1,0,0,0,60,True,0,1,2022-23,Nott'm Forest,NFO,17,3,1050,1100,1065,1100,1030,1105,0.0,18206.0,2022.0,539464.0,0.0,0.0,0.0,0.0,0.0,4456.0
Leander Dendoncker,MID,Wolves,2.1,0,0,21,0,16.5,479,0.0,0.0,0.0,0.0,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13096,0,1,2,37.0,2,0,0,0,50,False,0,1,2022-23,Leeds,LEE,2,3,1100,1090,1070,1075,1130,1120,3.0,18205.0,2022.0,539445.0,1.0,0.0,0.5236700177192688,0.6226369738578796,0.1735479980707168,7236.0
Aleksandar Mitrović,FWD,Fulham,0.6,0,3,57,0,14.7,210,0.0,0.0,0.0,0.0,4,2,2,15.5,82.0,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,509091,0,2,2,58.0,13,0,0,0,65,True,0,1,2022-23,Liverpool,LIV,14,4,1220,1275,1180,1250,1260,1300,3.0,18203.0,2022.0,539192.0,1.0,1.0,0.1504759937524795,0.2760989964008331,0.0789021998643875,773.0
Christian Eriksen,MID,Man Utd,2.8,0,0,17,0,42.5,519,0.0,0.0,0.0,0.0,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,361793,0,2,1,34.0,2,0,0,0,65,True,0,1,2022-23,Brighton,BHA,36,3,1170,1175,1140,1150,1200,1200,3.0,18209.0,2022.0,539801.0,3.0,0.0,0.0874368026852607,0.6087639927864075,0.3914529979228973,646.0
Joe Willock,MID,Newcastle,2.1,0,0,6,1,14.4,373,0.0,0.0,0.0,0.0,7,0,0,8.1,14.0,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,45439,0,0,2,53.0,3,0,0,0,50,True,0,1,2022-23,Nott'm Forest,NFO,17,3,1050,1100,1065,1100,1030,1105,3.0,18206.0,2022.0,539459.0,1.0,0.0,0.168831005692482,0.6144070029258728,0.4155960083007812,6630.0
Roméo Lavia,MID,Southampton,0.5,0,0,17,0,4.3,321,0.0,0.0,0.0,0.0,8,4,0,2.4,12.0,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,18407,0,1,4,8.0,2,0,0,0,45,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,1.0,18207.0,2022.0,539504.0,0.0,0.0,0.0186764001846313,0.0,0.0,10004.0
Will Hughes,MID,Crystal Palace,1.1,0,0,2,0,0.3,163,0.0,0.0,0.0,0.0,1,0,0,0.4,0.0,2022-08-05T19:00:00Z,4,1,0,0,0,0,1,0,2729,0,2,0,4.0,1,0,0,0,50,True,0,1,2022-23,Arsenal,ARS,3,4,1245,1285,1250,1250,1240,1320,0.0,18202.0,2022.0,539135.0,0.0,0.0,0.0,0.0,0.0,6104.0
Joe Ayodele-Aribo,MID,Southampton,1.5,0,0,5,0,5.2,512,0.0,0.0,0.0,0.0,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,50924,0,1,4,23.0,2,0,0,0,55,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,1.0,18207.0,2022.0,539507.0,0.0,0.0,0.0452122017741203,0.0795067027211189,0.0342945009469985,10766.0
Orel Mangala,MID,Nott'm Forest,1.1,0,0,3,0,0.2,536,0.0,0.0,0.0,0.0,7,1,0,0.3,2.6,2022-08-06T14:00:00Z,15,15,0,0,0,0,1,0,3088,0,0,2,0.0,1,0,0,0,50,False,0,1,2022-23,Newcastle,NEW,4,4,1210,1260,1250,1300,1165,1220,0.0,18206.0,2022.0,539479.0,0.0,0.0,0.0,0.0,0.0,6088.0
Cristian Romero,DEF,Spurs,2.8,0,0,11,0,2.7,443,0.0,0.0,0.0,0.0,8,1,0,2.4,8.0,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,0,1,4,13.0,2,0,0,0,50,True,0,1,2022-23,Southampton,SOU,20,2,1065,1070,1070,1070,1060,1080,2.0,18207.0,2022.0,539483.0,0.0,0.0,0.1250880062580108,0.8779159784317017,0.8779159784317017,7218.0
Jack Harrison,MID,Leeds,1.7,1,2,25,0,78.8,233,0.0,0.0,0.0,0.0,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,79451,0,1,2,10.0,6,0,0,0,60,True,1,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,0.0,18205.0,2022.0,539434.0,7.0,0.0,0.0,0.4402649998664856,0.0,8720.0
Nathaniel Clyne,DEF,Crystal Palace,1.4,0,0,9,0,14.1,157,0.0,0.0,0.0,0.0,1,2,0,2.3,8.4,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,11649,0,2,0,0.0,0,0,0,0,45,True,1,1,2022-23,Arsenal,ARS,3,4,1245,1285,1250,1250,1240,1320,0.0,18202.0,2022.0,539123.0,1.0,0.0,0.0,0.4755699932575226,0.4755699932575226,603.0
Stuart Armstrong,MID,Southampton,1.1,0,0,0,0,2.6,405,0.0,0.0,0.0,0.0,8,2,0,0.6,3.4,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,9352,0,1,4,0.0,1,0,0,0,50,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,0.0,18207.0,2022.0,539513.0,0.0,0.0,0.0,0.0,0.0,6893.0
Oriol Romeu Vidal,MID,Southampton,1.1,0,0,9,0,3.8,402,0.0,0.0,0.0,0.0,8,4,0,1.2,6.2,2022-08-06T14:00:00Z,74,18,0,0,0,0,1,0,10319,0,1,4,2.0,2,0,0,0,50,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,0.0,18207.0,2022.0,539505.0,0.0,0.0,0.0,0.0,0.0,842.0
Enock Mwepu,MID,Brighton,1.5,0,0,5,0,11.8,118,0.0,0.0,0.0,0.0,9,0,0,2.1,9.2,2022-08-07T13:00:00Z,14,14,0,0,0,0,1,0,10644,0,2,1,0.0,1,0,0,0,55,False,0,1,2022-23,Man Utd,MUN,1,3,1155,1220,1140,1220,1165,1220,0.0,18209.0,2022.0,539820.0,1.0,0.0,0.0,0.0199971999973058,0.0199971999973058,9734.0
Diogo Teixeira da Silva,FWD,Liverpool,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,55789,0,2,2,0.0,0,0,0,0,90,False,0,1,2022-23,Fulham,FUL,54,3,1095,1100,1070,1065,1120,1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6854.0
Rodrigo Moreno,MID,Leeds,1.7,0,0,23,0,1.1,225,0.0,0.0,0.0,0.0,5,1,1,6.5,34.8,2022-08-06T14:00:00Z,64,20,0,0,0,0,1,0,73866,0,1,2,29.0,7,0,0,0,60,True,0,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,3.0,18205.0,2022.0,539433.0,0.0,1.0,0.1362610012292862,0.068854697048664,0.0,2381.0
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,309,0,1,2,0.0,0,0,0,0,50,False,0,1,2022-23,Leeds,LEE,2,3,1100,1090,1070,1075,1130,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.0
Mohammed Salisu,DEF,Southampton,1.4,0,0,7,0,17.0,420,0.0,0.0,0.0,0.0,8,4,0,3.9,16.0,2022-08-06T14:00:00Z,90,18,1,0,0,0,1,0,14247,0,1,4,6.0,-2,0,0,0,45,False,0,1,2022-23,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,1.0,18207.0,2022.0,539501.0,1.0,0.0,0.0442898012697696,0.0452122017741203,0.0,6923.0
Jean-Philippe Mateta,FWD,Crystal Palace,1.0,0,0,2,0,11.2,168,0.0,0.0,0.0,0.0,1,1,0,2.0,0.0,2022-08-05T19:00:00Z,32,1,0,0,0,0,1,0,67462,0,2,0,10.0,1,0,0,0,55,True,0,1,2022-23,Arsenal,ARS,3,4,1245,1285,1250,1250,1240,1320,1.0,18202.0,2022.0,539133.0,1.0,0.0,0.0621729008853435,0.2157700061798095,0.0640330985188484,5735.0
Erling Haaland,FWD,Man City,5.0,0,3,48,1,4.8,318,0.0,0.0,0.0,0.0,10,0,2,14.0,62.6,2022-08-07T15:30:00Z,77,19,0,0,0,0,1,0,3398599,0,2,0,73.0,13,0,0,0,115,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,5.0,18211.0,2022.0,540086.0,0.0,1.0,1.4051899909973145,1.5119999647140503,0.1068070009350776,8260.0
Lewis Cook,MID,Bournemouth,1.1,0,0,4,0,0.3,67,0.0,0.0,0.0,0.0,2,0,0,0.8,7.2,2022-08-06T14:00:00Z,18,2,0,0,0,0,1,0,4802,0,0,2,0.0,1,0,0,0,50,True,0,1,2022-23,Aston Villa,AVL,7,3,1070,1100,1070,1075,1070,1130,0.0,18204.0,2022.0,539407.0,0.0,0.0,0.0,0.0,0.0,1789.0
Phil Foden,MID,Man City,3.7,0,0,19,1,30.4,314,0.0,0.0,0.0,0.0,10,0,0,5.1,10.8,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,482845,0,2,0,10.0,3,0,0,0,80,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,0.0,18211.0,2022.0,540085.0,2.0,0.0,0.0,0.9853879809379578,0.4888539910316467,6055.0
Scott McTominay,MID,Man Utd,2.1,0,0,1,0,2.1,338,0.0,0.0,0.0,0.0,9,2,0,2.7,0.0,2022-08-07T13:00:00Z,77,5,0,0,0,0,1,0,22964,0,2,1,26.0,1,0,0,0,50,True,1,1,2022-23,Brighton,BHA,36,3,1170,1175,1140,1150,1200,1200,1.0,18209.0,2022.0,539799.0,0.0,0.0,0.0705735981464386,0.1512279957532882,0.0806540995836258,5560.0
Dean Henderson,GK,Nott'm Forest,1.7,0,0,26,0,0.0,398,0.0,0.0,0.0,0.0,7,2,0,4.8,48.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,7,434219,0,0,2,0.0,3,0,0,0,45,False,0,1,2022-23,Newcastle,NEW,4,4,1210,1260,1250,1300,1165,1220,0.0,18206.0,2022.0,539468.0,0.0,0.0,0.0,0.0,0.0,7702.0
Mason Holgate,DEF,Everton,1.4,0,0,9,0,0.5,192,0.0,0.0,0.0,0.0,3,1,0,4.8,27.0,2022-08-06T16:30:00Z,72,6,0,0,0,0,1,0,10243,0,1,0,20.0,1,0,0,0,45,True,1,1,2022-23,Chelsea,CHE,8,3,1165,1220,1190,1220,1140,1220,1.0,18208.0,2022.0,539619.0,0.0,0.0,0.1389939934015274,0.0990333035588264,0.0990333035588264,985.0
Mateusz Klich,MID,Leeds,1.1,0,0,2,0,5.3,223,0.0,0.0,0.0,0.0,5,0,0,1.1,1.4,2022-08-06T14:00:00Z,25,20,0,0,0,0,1,0,10219,0,1,2,4.0,1,0,0,0,50,True,0,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,0.0,18205.0,2022.0,539437.0,0.0,0.0,0.0,0.0,0.0,4381.0
James Milner,MID,Liverpool,2.5,0,0,1,0,4.7,274,0.0,0.0,0.0,0.0,4,1,0,1.6,3.2,2022-08-06T11:30:00Z,31,9,0,0,0,0,1,0,62173,0,2,2,8.0,1,0,0,0,45,False,0,1,2022-23,Fulham,FUL,54,3,1095,1100,1070,1065,1120,1140,0.0,18203.0,2022.0,539209.0,0.0,0.0,0.0,0.1166720017790794,0.1166720017790794,489.0
Keane Lewis-Potter,MID,Brentford,2.0,0,0,3,0,0.2,515,0.0,0.0,0.0,0.0,6,0,0,0.7,5.2,2022-08-07T13:00:00Z,31,10,0,0,0,0,1,0,9624,0,2,2,2.0,1,0,0,0,55,False,0,1,2022-23,Leicester,LEI,13,3,1130,1115,1065,1110,1200,1120,0.0,18210.0,2022.0,539850.0,0.0,0.0,0.0,0.0,0.0,10809.0
Kevin De Bruyne,MID,Man City,4.7,1,0,24,1,43.0,301,0.0,0.0,0.0,0.0,10,0,0,8.7,24.4,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,1151254,0,2,0,20.0,6,0,0,0,120,False,0,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,2.0,18211.0,2022.0,540082.0,3.0,0.0,0.0828095972537994,1.135259985923767,0.9580919742584229,447.0
Joe Gelhardt,FWD,Leeds,1.0,0,0,2,0,0.3,242,0.0,0.0,0.0,0.0,5,0,0,0.1,0.2,2022-08-06T14:00:00Z,6,20,0,0,0,0,1,0,57638,0,1,2,0.0,1,0,0,0,55,True,0,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,0.0,18205.0,2022.0,539438.0,0.0,0.0,0.0,0.0,0.0,9339.0
Diego Carlos Santos Silva,DEF,Aston Villa,2.8,0,0,8,0,1.5,50,0.0,0.0,0.0,0.0,2,2,0,1.4,9.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,92038,0,0,2,3.0,1,0,0,0,50,False,0,1,2022-23,Bournemouth,BOU,91,2,1035,1095,1020,1110,1050,1080,1.0,18204.0,2022.0,539412.0,0.0,0.0,0.0175538007169961,0.0285510998219251,0.0109973000362515,5712.0
Ben Mee,DEF,Brentford,1.9,0,0,9,0,1.4,526,0.0,0.0,0.0,0.0,6,2,0,0.9,7.8,2022-08-07T13:00:00Z,58,10,0,0,0,0,1,0,26294,0,2,2,0.0,0,0,0,0,45,False,0,1,2022-23,Leicester,LEI,13,3,1130,1115,1065,1110,1200,1120,0.0,18210.0,2022.0,539838.0,0.0,0.0,0.0,0.0492583997547626,0.0492583997547626,1654.0
João Cancelo,DEF,Man City,4.7,0,2,27,1,18.9,306,0.0,0.0,0.0,0.0,10,0,0,3.9,15.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,3569038,0,2,0,5.0,7,0,0,0,70,False,1,1,2022-23,West Ham,WHU,21,3,1100,1130,1145,1150,1060,1110,1.0,18211.0,2022.0,540081.0,1.0,0.0,0.0216722004115581,0.8971419930458069,0.805109977722168,2379.0
Bruno Borges Fernandes,MID,Man Utd,3.7,0,0,14,0,35.0,333,0.0,0.0,0.0,0.0,9,2,0,5.4,10.8,2022-08-07T13:00:00Z,89,5,0,0,0,0,1,0,266667,0,2,1,8.0,2,0,0,0,100,True,0,1,2022-23,Brighton,BHA,36,3,1170,1175,1140,1150,1200,1200,1.0,18209.0,2022.0,539798.0,2.0,0.0,0.0804238021373748,0.6449139714241028,0.2844670116901397,1228.0
Tyler Adams,MID,Leeds,1.1,0,0,7,0,12.0,506,0.0,0.0,0.0,0.0,5,1,0,2.4,11.0,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,12574,0,1,2,1.0,1,0,0,0,50,True,1,1,2022-23,Wolves,WOL,39,3,1080,1090,1100,1100,1060,1080,1.0,18205.0,2022.0,539431.0,1.0,0.0,0.0152422003448009,0.0281607005745172,0.0,7352.0
Mark Travers,GK,Bournemouth,1.7,0,0,24,1,0.0,72,0.0,0.0,0.0,0.0,2,0,0,1.5,14.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,2,24837,0,0,2,0.0,6,0,0,0,45,True,0,1,2022-23,Aston Villa,AVL,7,3,1070,1100,1070,1075,1070,1130,0.0,18204.0,2022.0,539396.0,0.0,0.0,0.0,0.2622810006141662,0.2622810006141662,7582.0
Jordan Zemura,DEF,Bournemouth,1.4,0,0,25,1,10.7,76,0.0,0.0,0.0,0.0,2,0,0,3.4,21.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,9212,0,0,2,2.0,6,0,0,0,45,True,0,1,2022-23,Aston Villa,AVL,7,3,1070,1100,1070,1075,1070,1130,0.0,18204.0,2022.0,539401.0,1.0,0.0,0.0,0.3490220010280609,0.2622810006141662,10740.0
Ivan Toney,FWD,Brentford,2.2,0,2,26,0,25.8,80,0.0,0.0,0.0,0.0,6,2,1,8.8,39.0,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,438961,0,2,2,23.0,8,0,0,0,70,False,0,1,2022-23,Leicester,LEI,13,3,1130,1115,1065,1110,1200,1120,2.0,18210.0,2022.0,539844.0,3.0,1.0,0.628259003162384,0.7599470019340515,0.0492583997547626,998.0
Pontus Jansson,DEF,Brentford,1.9,0,0,17,0,0.5,78,0.0,0.0,0.0,0.0,6,2,0,1.9,18.2,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,186616,0,2,2,0.0,1,0,0,0,45,False,0,1,2022-23,Leicester,LEI,13,3,1130,1115,1065,1110,1200,1120,0.0,18210.0,2022.0,539837.0,0.0,0.0,0.0,0.0,0.0,1801.0
Kurt Zouma,DEF,West Ham,0.9,0,0,8,0,0.2,461,0.0,0.0,0.0,0.0,10,2,0,1.5,13.0,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,110499,0,2,0,2.0,1,0,0,0,45,True,0,1,2022-23,Man City,MCI,43,5,1350,1360,1340,1340,1360,1380,0.0,18211.0,2022.0,540063.0,0.0,0.0,0.0,0.0,0.0,935.0
