name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Nélson Cabral Semedo,DEF,Wolves,2.2,0,0,16,0,28.5,572,0.08,0.08,0.0,2.19,267,3,0,5.0,19.4,2024-03-02T15:00:00Z,90,15,0,0,0,0,27,0,81424,1,0,3,2.0,1,-2172,2310,4482,45,False,0,27,572,2023-24,4.5,Newcastle,NEW,4,3,1105,1280,1050,1210,1160,1355,0.0,22161.0,2023.0,644977.0,2.0,0.0,0.0,0.1287294179201126,0.051406156271696,6163.0,1305.650590529137,754.4168615826404,1030.0337260558886,2024-03-02 15:00:00+00:00
Đorđe Petrović,GK,Chelsea,2.3,0,0,16,0,0.0,687,0.0,0.0,0.0,1.83,261,2,0,2.0,19.8,2024-03-02T15:00:00Z,90,4,0,0,0,0,27,3,119465,1,2,2,0.0,2,2705,7931,5226,45,False,0,27,687,2023-24,4.5,Brentford,BRE,94,3,1100,1100,1110,1055,1090,1150,0.0,22155.0,2023.0,644823.0,0.0,0.0,0.0,0.0849997624754905,0.0849997624754905,12032.0,946.2485589447997,813.4682395355434,879.8583992401716,2024-03-02 15:00:00+00:00
Andros Townsend,MID,Luton,-0.2,0,0,1,0,0.7,727,0.0,0.06,0.06,1.55,265,2,0,0.2,0.0,2024-03-02T17:30:00Z,52,2,0,0,0,0,27,0,8804,1,3,2,4.0,1,-737,210,947,50,True,0,27,727,2023-24,5.0,Aston Villa,AVL,7,4,1160,1285,1140,1220,1180,1350,1.0,22159.0,2023.0,645153.0,0.0,0.0,0.0495052337646484,0.1344393044710159,0.0849340632557869,775.0,1167.0351874491162,1235.6385903687974,1201.3368889089568,2024-03-02 17:30:00+00:00
Chris Richards,DEF,Crystal Palace,4.0,0,0,15,0,0.8,238,0.0,0.0,0.0,1.87,270,3,0,2.1,20.4,2024-03-02T15:00:00Z,90,18,0,0,0,0,27,0,93858,1,1,3,0.0,1,21893,25881,3988,39,False,0,27,238,2023-24,3.9,Spurs,TOT,6,4,1170,1230,1110,1150,1230,1310,0.0,22164.0,2023.0,644916.0,0.0,0.0,0.0,0.0,0.0,8430.0,1214.1972838046174,867.426200890956,1040.8117423477868,2024-03-02 15:00:00+00:00
Kyle Walker,DEF,Man City,4.0,0,0,18,0,14.7,369,0.15,0.19,0.04,0.26,266,1,0,5.0,19.8,2024-03-03T15:30:00Z,90,14,0,0,0,0,27,0,1822528,1,1,3,15.0,2,-72077,19317,91394,55,True,0,27,369,2023-24,5.5,Man Utd,MUN,1,3,1125,1220,1130,1210,1120,1230,2.0,22160.0,2023.0,645738.0,0.0,0.0,0.0497530587017536,1.3346128463745115,1.315841794013977,638.0,1319.4226925031633,797.2662148619775,1058.3444536825705,2024-03-03 15:30:00+00:00
Jadon Sancho,MID,Man Utd,0.0,0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2024-03-09T12:30:00Z,0,9,0,0,0,0,28,0,38776,0,0,2,0.0,0,-81,0,81,67,True,0,28,397,2023-24,6.7,Everton,EVE,11,3,1095,1100,1125,1125,1065,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6345.0,781.3858834910981,1129.0798262300673,955.2328548605826,2024-03-09 12:30:00+00:00
Divock Origi,FWD,Nott'm Forest,2.2,0,0,0,0,0.6,714,0.0,0.36,0.36,0.42,274,1,0,2.5,1.2,2024-03-10T14:00:00Z,60,5,0,0,0,0,28,0,14335,1,0,1,23.0,2,1114,2000,886,50,False,0,28,714,2023-24,5.0,Brighton,BHA,36,3,1100,1210,1070,1180,1135,1240,2.0,22168.0,2023.0,647237.0,0.0,0.0,0.4226095676422119,0.4226095676422119,0.0,484.0,999.9091736209783,1088.248314090819,1044.0787438558987,2024-03-10 14:00:00+00:00
Vitaly Janelt,MID,Brentford,0.6,0,0,6,0,25.6,105,0.06,0.1,0.04,1.28,271,2,0,4.6,16.8,2024-03-09T17:30:00Z,89,1,0,0,0,0,28,0,8269,1,1,2,4.0,2,-474,93,567,53,False,0,28,105,2023-24,5.3,Arsenal,ARS,3,5,1350,1365,1370,1370,1330,1360,1.0,22166.0,2023.0,646892.0,2.0,0.0,0.0549490451812744,0.370128720998764,0.3621321618556976,9680.0,1361.5319432637712,1716.864458218246,1539.1982007410086,2024-03-09 17:30:00+00:00
Emil Krafth,DEF,Newcastle,0.2,0,0,6,0,2.3,417,0.01,0.01,0.0,0.88,275,1,0,0.7,4.2,2024-03-11T20:00:00Z,21,7,0,0,0,0,28,0,1935,0,2,3,0.0,1,-1,39,40,44,False,0,28,417,2023-24,4.4,Chelsea,CHE,8,3,1125,1190,1080,1150,1170,1230,0.0,22169.0,2023.0,647857.0,0.0,0.0,0.0,0.0442399568855762,0.0442399568855762,1545.0,1334.9854052517396,980.6138319769576,1157.7996186143487,2024-03-11 20:00:00+00:00
Anssumane Fati Vieira,MID,Brighton,1.5,0,0,0,0,3.3,700,0.01,0.24,0.23,0.43,274,0,0,3.0,6.2,2024-03-10T14:00:00Z,59,16,0,0,0,0,28,0,38365,1,0,1,20.0,0,-242,813,1055,64,True,1,28,700,2023-24,6.4,Nott'm Forest,NFO,17,3,1065,1100,1050,1125,1080,1080,3.0,22168.0,2023.0,647222.0,0.0,0.0,0.2663741111755371,0.2141801714897155,0.0999237746000289,7967.0,1167.6187706717478,858.7805964859432,1013.1996835788455,2024-03-10 14:00:00+00:00
Ben Osborn,MID,Sheffield Utd,1.3,0,0,8,0,15.3,489,0.05,0.05,0.0,3.34,273,2,0,3.0,12.2,2024-03-09T15:00:00Z,90,3,0,0,0,0,28,0,1445,1,2,2,2.0,2,7,29,22,48,False,0,28,489,2023-24,4.8,Bournemouth,BOU,91,3,1100,1100,1055,1130,1145,1075,0.0,22165.0,2023.0,646644.0,1.0,0.0,0.0,0.0544996708631515,0.0544996708631515,7714.0,808.8422054890598,1447.8682318002645,1128.3552186446623,2024-03-09 15:00:00+00:00
Amad Diallo,MID,Man Utd,0.2,0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2024-03-09T12:30:00Z,0,9,0,0,0,0,28,0,2474,0,0,2,0.0,0,-25,66,91,44,True,0,28,371,2023-24,4.4,Everton,EVE,11,3,1095,1100,1125,1125,1065,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8127.0,781.3858834910981,1129.0798262300673,955.2328548605826,2024-03-09 12:30:00+00:00
Anthony Elanga,MID,Nott'm Forest,2.8,0,0,4,0,0.4,378,0.03,0.03,0.0,0.04,274,0,0,0.5,4.2,2024-03-10T14:00:00Z,29,5,0,0,0,0,28,0,168781,0,0,1,0.0,1,9680,20776,11096,51,False,0,28,378,2023-24,5.1,Brighton,BHA,36,3,1100,1210,1070,1180,1135,1240,0.0,22168.0,2023.0,647242.0,0.0,0.0,0.0,0.0,0.0,9524.0,999.9091736209783,1088.248314090819,1044.0787438558987,2024-03-10 14:00:00+00:00
Oliver Norwood,MID,Sheffield Utd,0.5,0,0,3,0,0.2,488,0.0,0.0,0.0,0.69,273,1,0,0.7,7.0,2024-03-09T15:00:00Z,10,3,0,0,0,0,28,0,3338,0,2,2,0.0,0,-13,50,63,48,False,1,28,488,2023-24,4.8,Bournemouth,BOU,91,3,1100,1100,1055,1130,1145,1075,0.0,22165.0,2023.0,646654.0,0.0,0.0,0.0,0.0,0.0,7710.0,808.8422054890598,1447.8682318002645,1128.3552186446623,2024-03-09 15:00:00+00:00
Harry Toffolo,DEF,Nott'm Forest,1.2,0,0,12,0,1.3,465,0.01,0.01,0.0,0.46,274,1,0,1.2,8.8,2024-03-10T14:00:00Z,90,5,0,0,0,0,28,0,12853,1,0,1,2.0,2,636,1166,530,44,False,0,28,465,2023-24,4.4,Brighton,BHA,36,3,1100,1210,1070,1180,1135,1240,0.0,22168.0,2023.0,647233.0,0.0,0.0,0.0,0.0,0.0,10758.0,999.9091736209783,1088.248314090819,1044.0787438558987,2024-03-10 14:00:00+00:00
